regionid,regionname,state,city,metro,countyname,value_2016
764021,Southwest,IL,Evanston,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,251463
764022,Howard Street,IL,Evanston,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,229218.58
764023,Main-Chicago,IL,Evanston,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,285970.59
764024,Chicago-Dempster,IL,Evanston,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,446054.16
764025,Downtown,IL,Evanston,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,325538.91
764026,West Side,IL,Evanston,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,355550.25
764028,Noyes and Foster,IL,Evanston,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,370703.59
764029,Central Street,IL,Evanston,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,510712
777777,Jeffery Manor,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,48296.082
786293,Lawndale,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,100265.25
820520,Cobblers Crossing,IL,Elgin,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,188933.17
820524,Lords Park,IL,Elgin,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,151862.58
820525,Southeast Elgin,IL,Elgin,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,134540.42
821836,Eagle Ridge,IL,Orland Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,268050.5
821837,Brook Hills,IL,Orland Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,304390.59
821838,Golfview,IL,Orland Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,275761.66
821839,Village Square,IL,Orland Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,264391.41
821840,Crystal Tree,IL,Orland Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,349527.41
821841,Park Hill,IL,Orland Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,286065
821842,Evergreen View,IL,Orland Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,482530.5
821843,Catalina,IL,Orland Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,252302.42
826101,Scarsdale,IL,Arlington Heights,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,398345.09
826756,Olde Schaumburg Centre,IL,Schaumburg,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,
826757,Highlands,IL,Hoffman Estates,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,
826758,Highpoint,IL,Hoffman Estates,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,
826759,South Of Bode,IL,Hoffman Estates,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,
826760,Winston Knolls,IL,Hoffman Estates,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,
826761,Poplar Hills,IL,Hoffman Estates,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,
